# market,state,center_zip,zipcode,zip_radius
BOSTON,MA,2108,2108,0
BOSTON,MA,2108,2109,0
BOSTON,MA,2108,2110,0
BOSTON,MA,2108,2111,0
BOSTON,MA,2108,2112,0
BOSTON,MA,2108,2113,0
BOSTON,MA,2108,2114,0
BOSTON,MA,2108,2115,0
BOSTON,MA,2108,2116,0
BOSTON,MA,2108,2117,0
BOSTON,MA,2108,2118,0
BOSTON,MA,2108,2119,0
BOSTON,MA,2108,2120,0
BOSTON,MA,2108,2121,0
BOSTON,MA,2108,2122,0
BOSTON,MA,2108,2124,0
BOSTON,MA,2108,2125,0
BOSTON,MA,2108,2127,0
BOSTON,MA,2108,2128,0
BOSTON,MA,2108,2133,0
BOSTON,MA,2108,2142,0
BOSTON,MA,2108,2163,0
BOSTON,MA,2108,2196,0
BOSTON,MA,2108,2199,0
BOSTON,MA,2108,2203,0
BOSTON,MA,2108,2205,0
BOSTON,MA,2108,2206,0
BOSTON,MA,2108,2210,0
BOSTON,MA,2108,2211,0
BOSTON,MA,2108,2212,0
BOSTON,MA,2108,2215,0
BOSTON,MA,2108,2293,0
HARTFORD,CT,6106,6101,0
HARTFORD,CT,6106,6102,0
HARTFORD,CT,6106,6103,0
HARTFORD,CT,6106,6105,0
HARTFORD,CT,6106,6106,0
HARTFORD,CT,6106,6112,0
HARTFORD,CT,6106,6114,0
HARTFORD,CT,6106,6115,0
HARTFORD,CT,6106,6120,0
HARTFORD,CT,6106,6123,0
HARTFORD,CT,6106,6132,0
HARTFORD,CT,6106,6141,0
HARTFORD,CT,6106,6152,0
HARTFORD,CT,6106,6156,0
HARTFORD,CT,6106,6183,0
New York,NY,10007,10001,0
New York,NY,10007,10001,0.7
New York,NY,10007,10001,2.6
New York,NY,10007,10002,0
New York,NY,10007,10002,1.1
New York,NY,10007,10003,0
New York,NY,10007,10003,1.5
New York,NY,10007,10004,0
New York,NY,10007,10004,1.6
New York,NY,10007,10005,0
New York,NY,10007,10005,0.6
New York,NY,10007,10006,0
New York,NY,10007,10006,0.6
New York,NY,10007,10007,0
New York,NY,10007,10008,0
New York,NY,10007,10009,0
New York,NY,10007,10009,1.7
Hartford,CT,6106,1001,20.6
New York,NY,10007,10010,0
New York,NY,10007,10010,2.1
New York,NY,10007,10011,0
New York,NY,10007,10011,1.9
New York,NY,10007,10012,0
New York,NY,10007,10012,0.9
New York,NY,10007,10013,0
New York,NY,10007,10013,0.4
New York,NY,10007,10014,0
New York,NY,10007,10014,1.4
New York,NY,10007,10016,0
New York,NY,10007,10016,2.7
New York,NY,10007,10017,0
New York,NY,10007,10017,3.2
New York,NY,10007,10018,0
New York,NY,10007,10018,2.9
New York,NY,10007,10019,0
New York,NY,10007,10019,3.7
New York,NY,10007,10020,0
New York,NY,10007,10020,3.4
New York,NY,10007,10021,0
New York,NY,10007,10021,4.4
New York,NY,10007,10022,0
New York,NY,10007,10022,3.7
New York,NY,10007,10023,0
New York,NY,10007,10023,4.4
New York,NY,10007,10024,0
New York,NY,10007,10024,5.2
New York,NY,10007,10025,0
New York,NY,10007,10025,6.1
New York,NY,10007,10026,0
New York,NY,10007,10026,6.7
New York,NY,10007,10027,0
New York,NY,10007,10027,7.3
New York,NY,10007,10028,0
New York,NY,10007,10028,5.1
New York,NY,10007,10029,0
New York,NY,10007,10029,6.2
New York,NY,10007,10030,0
New York,NY,10007,10030,7.9
New York,NY,10007,10031,0
New York,NY,10007,10031,8.3
New York,NY,10007,10032,0
New York,NY,10007,10032,9.4
New York,NY,10007,10033,0
New York,NY,10007,10033,10
New York,NY,10007,10034,0
